Ciclo,Peor aptitud,Aptitud promedio,Mejor aptitud,Diversidad
212,98,"98,995",99,0
213,98,"98,984",99,0
214,98,"98,995",99,"0,001"
215,99,99,99,0
216,99,99,99,0
217,99,99,99,0
218,98,"98,979",99,0
219,98,"98,989",99,"0,001"
220,98,"98,968",99,0
221,98,"98,989",99,"0,001"
222,98,"98,989",99,0
223,98,"98,989",99,0
224,98,"98,989",99,0
225,98,"98,995",99,0
226,98,"98,984",99,0
227,98,"98,995",99,"0,001"
228,98,"98,995",99,0
229,98,"98,974",99,0
230,99,99,99,"0,001"
231,99,99,99,0
232,98,"98,995",99,0
233,98,"98,995",99,0
234,98,"98,989",99,0
235,98,"98,968",99,0
236,98,"98,989",99,"0,001"
237,98,"98,984",99,0
238,98,"98,984",99,"0,001"
239,98,"98,984",99,"0,001"
240,98,"98,979",99,"0,001"
241,99,99,99,"0,001"
242,98,"98,989",99,0
243,98,"98,995",99,0
244,98,"98,989",99,0
245,98,"98,984",99,0
246,98,"98,995",99,"0,001"
247,98,"98,984",99,0
248,98,"98,984",99,"0,001"
249,98,"98,995",99,"0,001"
250,98,"98,995",99,0
251,98,"98,989",99,0
252,98,"98,989",100,0
Promedio,"92,542","93,770","94,443","0,038"
